created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 10 23:56:53 +0000 2023;1733999257479475448;"Survey Litbang Kompas seperti mengkonfirmasi bahwa pemilih PS pada dua kali pilpres masih "konsisten". Sementara pemilih non PS terbagi dua, Ganjar atau Anies. Ditambah "booster" memilih pasangan cawapres anak pak Jokowi. Apakah akan berubah saat pemungutan nanti?";0;0;0;0;in;1360992242;1733999257479475448;hsolichin;https://twitter.com/hsolichin/status/1733999257479475448
Sun Dec 10 23:56:36 +0000 2023;1733999184876069296;"@ganjarpranowo Kapan lagi punya capres yang rajin olahraga dan ngajakin rakyatnya hidup sehat dengan olahraga dimulai dari dirinya sendiri? Pak Ganjar keren.";0;0;0;0;in;1710162379429064704;1733731514972823595;cherryrin_zip;https://twitter.com/cherryrin_zip/status/1733999184876069296
Sun Dec 10 23:56:24 +0000 2023;1733999135429476859;"Terus bergerak dgn prinsip becik ketitik olo ketoro....utk kebaikan bangsa Indonesia...klo copy paste pasti TDK baik dan orang pinter tau klo itu copy paste. Yg teruji dan terbukti GANJAR -MAHFUD,yg lain, lain kali aja dulu,  durung wayahe... aamiin";0;0;0;1;in;1617677058263617537;1733999135429476859;tiok007;https://twitter.com/tiok007/status/1733999135429476859
Sun Dec 10 23:56:22 +0000 2023;1733999125774074299;"@ganjarpranowo Gak disangka bisa ketemu nih ya pak ganjar,,semoga berkah manfaat nih yg dibincangkn";0;0;0;0;in;1706500690598862848;1733731514972823595;finaazkiaa;https://twitter.com/finaazkiaa/status/1733999125774074299
Sun Dec 10 23:56:09 +0000 2023;1733999073014043092;"@officialinews_ Ganjar Mahfud menunjukkan bahwa sederhana bukanlah kelemahan, tetapi kekuatan kesederhanaan mereka adalah sumber inspirasi bagi banyak orang yg ingin melihat pemimpin yg tulus kami jelas positife dukung pasangan Ganjar Mahfud";0;0;0;0;in;1691423435447267329;1733791163058987310;vinozuzar;https://twitter.com/vinozuzar/status/1733999073014043092
Sun Dec 10 23:56:05 +0000 2023;1733999055930577384;"Survei Litbang "Kompas": Elektabilitas Prabowo-Gibran 39,3 Persen, Anies-Muhaimin 16,7 Persen, Ganjar-Mahfud 15,3 Persen https://t.co/u9uHQthm3V";1;11;2;12;in;2412572689;1733999055930577384;is_pelssy;https://twitter.com/is_pelssy/status/1733999055930577384
Sun Dec 10 23:55:58 +0000 2023;1733999025156931786;"@ganjarpranowo Bapak Ganjar merangkul dan peduli pada seluruh masyarakat";0;0;0;0;in;1575278724660236288;1733804740855877900;nandajjni;https://twitter.com/nandajjni/status/1733999025156931786
Sun Dec 10 23:55:47 +0000 2023;1733998979795521800;"@PreciosaKanti Ya mau percaya silahkan, ngak percaya juga ngak ada yg maksa kok mbak....  Ingat ya, dulu mbak Puan, di ganti Ganjar sbg Capres, jg Krn faktor hasil survei.  Sekarang gimana? https://t.co/lg0tT8ftA2";0;4;1;8;in;213275912;1733871685408010375;bakekoganteng;https://twitter.com/bakekoganteng/status/1733998979795521800
Sun Dec 10 23:55:42 +0000 2023;1733998958777934278;"@Ganjar_RI_1 Biar pendukungnya dapat beras 🤣";0;0;0;1;in;940104805036343296;1733773482851463285;igiT_0403;https://twitter.com/igiT_0403/status/1733998958777934278
Sun Dec 10 23:55:37 +0000 2023;1733998936585896337;"@ganjarpranowo Sellu ramah bgt nih pak ganjar ,,the best calon presiden";0;0;0;0;in;1662714897946529792;1733731514972823595;ziyasari24;https://twitter.com/ziyasari24/status/1733998936585896337
Sun Dec 10 23:55:22 +0000 2023;1733998876242428330;"@kangdede78 Laki laki tetap punya prinsip Kata kata adalah emas  Sekali ganjar tetap ganjar.";0;0;0;0;in;801251310184046592;1733641624293642667;djoko_lelur_kw;https://twitter.com/djoko_lelur_kw/status/1733998876242428330
Sun Dec 10 23:55:18 +0000 2023;1733998859603644483;"@Gus_Raharjo Lebih parahnya lagi dulu pak Ganjar sama Bu Atikoh suka banget ikut senam Minggu di bilang ga ada kerjaan sekarang yg joget joget pargoy dibilang gemoy ndasmu gemoy";0;0;0;0;in;1710203228741332992;1733717325482959274;scpophobia;https://twitter.com/scpophobia/status/1733998859603644483
Sun Dec 10 23:55:14 +0000 2023;1733998840246907087;"pengusaha lokal untuk mendengarkan masalah memberikan solusi yang tepat. Ini adalah langkah yang sangat positif untuk mendukung pertumbuhan UMKM di daerah tersebut. Terima kasih Pak Ganjar Pranowo-Mahfud MD dan Pak Sandiaga Uno atas dedikasi dan";0;0;0;0;in;1676840556025229312;1733998840246907087;lilismisnah;https://twitter.com/lilismisnah/status/1733998840246907087
Sun Dec 10 23:55:10 +0000 2023;1733998822555373597;"@Dennysiregar7 Biarlah bang semua pasti sdh tau Ganjar Mahfud yg m3nang";0;0;0;0;in;1668835909859672066;1733758191924617463;b0_b0_b0y;https://twitter.com/b0_b0_b0y/status/1733998822555373597
Sun Dec 10 23:55:00 +0000 2023;1733998781081735410;"Sekjen PDIP Hasto Kristiyanto menegaskan Ganjar Pranowo-Mahfud MD akan menekankan HAM sebagai asas yang harus dijunjung tinggi #GanjarMahfud #GanjarPranowo #GerakCepat #MahfudMD #IndonesiaUnggul #IndonesiaLebihBaik  https://t.co/JFzh2f8u9J";0;0;0;0;in;132078023;1733998781081735410;officialinews_;https://twitter.com/officialinews_/status/1733998781081735410
Sun Dec 10 23:54:53 +0000 2023;1733998753206632519;"@Heraloebss Prabowo stagnan, Anies - Ganjar fluktuatif...  Swing voter tinggi... Prediksi : 2 putaran AMIN menang 😁  #WeNeedChange #AMINAjaDulu";0;0;0;0;in;1558022433902575616;1733738244855255124;Tandoek_Rakjat;https://twitter.com/Tandoek_Rakjat/status/1733998753206632519
Sun Dec 10 23:54:47 +0000 2023;1733998726191222918;"@tribunnews Semangat pak ganjar";0;0;0;0;in;1118895736865746945;1733785809684455571;Dau61782354;https://twitter.com/Dau61782354/status/1733998726191222918
Sun Dec 10 23:54:39 +0000 2023;1733998695329435989;"@tribunnews Dukung ganjar selalu";0;0;0;0;in;1118895736865746945;1733785809684455571;Dau61782354;https://twitter.com/Dau61782354/status/1733998695329435989
Sun Dec 10 23:54:35 +0000 2023;1733998679391179124;"@ganjarpranowo pak ganjar sangat di terima dan di hormati sekali nih disana luar biasa";0;0;0;0;in;1720202507413000192;1733804740855877900;CaskeyK51179;https://twitter.com/CaskeyK51179/status/1733998679391179124
Sun Dec 10 23:54:24 +0000 2023;1733998629520810253;"@ganjarpranowo Hebat emang gagasan pak Ganjar untuk Indonesia";0;0;0;1;in;1685881608535248896;1733804740855877900;SafJafar5;https://twitter.com/SafJafar5/status/1733998629520810253
